 Iter, NormResNorm, ResDivD, ResDivH, ResDivA, ResCurlSrc
1  6.6856549753767514E-01  1.0000000000000000E+00  1.9180831445462374E-16                     NaN  7.0169490078093788E-01
2  5.4506324340697032E-01  1.0000000000000000E+00  2.8547543536539602E-16  7.7635095127142117E-01  6.0051142932961465E-01
3  4.7558612333726624E-01  9.8088546326568193E-01  2.5012728391822950E-16  7.4757463938305746E-01  5.4707340298647178E-01
4  3.7991591926014479E-01  9.2438128698572730E-01  2.8852533974935239E-16  6.5924729214187661E-01  5.0397126313372109E-01
5  3.2638985190993036E-01  9.0576271952856224E-01  6.0588450664344840E-03  6.2634045345616518E-01  4.7094595698492775E-01
6  2.8442851288700005E-01  9.0738712602549088E-01  1.8539682294654192E-02  6.3170283333096855E-01  4.4347815082089570E-01
7  2.6525661779544729E-01  8.7404790083631334E-01  3.1626078928343800E-02  6.2326202526155905E-01  4.1538588043825725E-01
8  2.2007179042106470E-01  8.1305133973382326E-01  3.6459333751986137E-02  6.7273520908361983E-01  3.9539422675236718E-01
9  1.8039351364338638E-01  7.5568429440958740E-01  3.5335746353096990E-02  7.1054802180691012E-01  3.8407610462142555E-01
10  1.5188022491018124E-01  7.0976406585530094E-01  3.1771858807564904E-02  7.0380623004337128E-01  3.7493906854781550E-01
11  1.3461348136973206E-01  6.8002263972097443E-01  2.7648201498743377E-02  7.0460457323816228E-01  3.6819586695041190E-01
12  1.2196071685784722E-01  6.5878893629288582E-01  2.4374736148870261E-02  7.0309840094117271E-01  3.6354579149397881E-01
13  1.1266280139226531E-01  6.3959209472150991E-01  2.1669750594243739E-02  7.1159835107148017E-01  3.5940383408575649E-01
14  1.0953271017164548E-01  6.1386062986200896E-01  1.9699406757044326E-02  7.2890584551613780E-01  3.5566850778371328E-01
15  1.0288264311041898E-01  5.8840744401953948E-01  1.8401034533718892E-02  7.3157675792361920E-01  3.5239865674339788E-01
16  1.0027361189668457E-01  5.6980879663813566E-01  1.7409622012273165E-02  7.3174303912561967E-01  3.4875162124149578E-01
17  9.9754924214425625E-02  5.5793124361486190E-01  1.6954694326974416E-02  7.3715574083819213E-01  3.4466390296580945E-01
18  9.6226439863376423E-02  5.5107167015843428E-01  1.6819239210516281E-02  7.4458716828591909E-01  3.4007337365918910E-01
19  9.5300741778313630E-02  5.5088218135950262E-01  1.6736634280797035E-02  7.4670673986507263E-01  3.3524747518439102E-01
20  9.0992181415736145E-02  5.4649566564439100E-01  1.6500051400721204E-02  7.5315157351354534E-01  3.3132753896908979E-01
21  8.7240700576937197E-02  5.2808786920995077E-01  1.5999921832720598E-02  7.5986837173505006E-01  3.2845386895471346E-01
22  8.7733171204585514E-02  5.0527446128041886E-01  1.5555015147562953E-02  7.5991989846359131E-01  3.2644367868705965E-01
23  8.5306461814130832E-02  4.8980279369730073E-01  1.5210690670313916E-02  7.5860493780631233E-01  3.2478734592771302E-01
24  8.4164659521089355E-02  4.7864889672151134E-01  1.4914042040019662E-02  7.5776640150825358E-01  3.2294756719910483E-01
25  8.3771046326126503E-02  4.6221821371079180E-01  1.4643358549071847E-02  7.5610086952859079E-01  3.2077629869615815E-01
26  8.3195632381079812E-02  4.2946970602378054E-01  1.4437112782413683E-02  7.4922346860834765E-01  3.1833465613580764E-01
